Variant 5
b
x0 = 0.5, y0 = -0.1
Simple iteration method
Fi1(x,y)=sin(x + 0.5) - 1
Fi2(x,y)=-cos(y - 2)

Jacobian:
cos(x + 0.5) 0
0            sin(y - 2)

Values:
  0.540302   0.000000 
  0.000000  -0.863209 
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    | Jacobian norm 
   1  | 0.504846 | -0.158529 | 4.969799e-02 |  2.608e-03 | -4.963e-02 | 0.832200
   2  | 0.554476 | -0.155921 | 2.565417e-02 |  2.556e-02 |  2.173e-03 | 0.833643
   3  | 0.552303 | -0.130359 | 2.151456e-02 | -1.075e-03 |  2.149e-02 | 0.847488
   4  | 0.530815 | -0.131433 | 1.088654e-02 | -1.085e-02 | -9.105e-04 | 0.846917
   5  | 0.531726 | -0.142282 | 9.168159e-03 |  4.677e-04 | -9.156e-03 | 0.841099
   6  | 0.540882 | -0.141814 | 4.680769e-03 |  4.664e-03 |  3.935e-04 | 0.841351
   7  | 0.540488 | -0.137150 | 3.935131e-03 | -1.989e-04 |  3.930e-03 | 0.843863
   8  | 0.536558 | -0.137349 | 2.001549e-03 | -1.994e-03 | -1.679e-04 | 0.843756
   9  | 0.536726 | -0.139343 | 1.683971e-03 |  8.547e-05 | -1.682e-03 | 0.842684
  10  | 0.538408 | -0.139258 | 8.579163e-04 |  8.549e-04 |  7.202e-05 | 0.842730
  11  | 0.538336 | -0.138403 | 7.215633e-04 | -3.656e-05 |  7.206e-04 | 0.843190
  12  | 0.537615 | -0.138439 | 3.673538e-04 | -3.661e-04 | -3.083e-05 | 0.843171
  13  | 0.537646 | -0.138805 | 3.090108e-04 |  1.567e-05 | -3.086e-04 | 0.842974
  14  | 0.537955 | -0.138790 | 1.573666e-04 |  1.568e-04 |  1.321e-05 | 0.842982
  15  | 0.537942 | -0.138633 | 1.323659e-04 | -6.710e-06 |  1.322e-04 | 0.843066
  16  | 0.537809 | -0.138640 | 6.740002e-05 | -6.716e-05 | -5.657e-06 | 0.843063
  17  | 0.537815 | -0.138707 | 5.669367e-05 |  2.874e-06 | -5.662e-05 | 0.843027

Newton method

Derivatives matrix:
cos(x + 0.5) -1
1            sin(y - 2)
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    
   1  | 0.537759 | -0.138128 | 7.114129e-04 | -6.046e-04 |  3.749e-04
   2  | 0.537853 | -0.138685 | 8.335351e-08 | -3.847e-09 |  8.326e-08
   3  | 0.537853 | -0.138685 | 1.373270e-15 | -1.332e-15 |  3.331e-16

Newton method

Derivatives matrix:
cos(x + 0.5) -1
1            sin(y - 2)

Alpha0 = 1 Lambda0 = 0.500

                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    |     FF    | k |   Alpha
   1  | 0.536469 | -0.154346 | 2.084601e-02 |  1.496e-02 | -1.452e-02 | 4.346e-04 | 1 | 0.500000
   2  | 0.543372 | -0.127271 | 1.745438e-02 | -8.622e-03 |  1.518e-02 | 3.047e-04 | 1 | 0.500000
   3  | 0.532536 | -0.148780 | 1.565034e-02 |  7.382e-03 | -1.380e-02 | 2.449e-04 | 1 | 0.500000
   4  | 0.542552 | -0.129840 | 1.378736e-02 | -6.467e-03 |  1.218e-02 | 1.901e-04 | 1 | 0.500000
   5  | 0.533635 | -0.146630 | 1.234338e-02 |  5.794e-03 | -1.090e-02 | 1.524e-04 | 1 | 0.500000
   6  | 0.541569 | -0.131694 | 1.089441e-02 | -5.109e-03 |  9.622e-03 | 1.187e-04 | 1 | 0.500000
   7  | 0.534526 | -0.144951 | 9.738475e-03 |  4.571e-03 | -8.599e-03 | 9.484e-05 | 1 | 0.500000
   8  | 0.540790 | -0.133160 | 8.607845e-03 | -4.037e-03 |  7.603e-03 | 7.409e-05 | 1 | 0.500000
   9  | 0.535228 | -0.143628 | 7.685145e-03 |  3.607e-03 | -6.786e-03 | 5.906e-05 | 1 | 0.500000
  10  | 0.540173 | -0.134318 | 6.800679e-03 | -3.190e-03 |  6.006e-03 | 4.625e-05 | 1 | 0.500000
  11  | 0.535781 | -0.142586 | 6.065818e-03 |  2.847e-03 | -5.356e-03 | 3.679e-05 | 1 | 0.500000
  12  | 0.539686 | -0.135235 | 5.372540e-03 | -2.520e-03 |  4.745e-03 | 2.886e-05 | 1 | 0.500000
  13  | 0.536218 | -0.141764 | 4.788320e-03 |  2.247e-03 | -4.228e-03 | 2.293e-05 | 1 | 0.500000
  14  | 0.539301 | -0.135959 | 4.244047e-03 | -1.991e-03 |  3.748e-03 | 1.801e-05 | 1 | 0.500000
  15  | 0.536562 | -0.141115 | 3.780239e-03 |  1.774e-03 | -3.338e-03 | 1.429e-05 | 1 | 0.500000
  16  | 0.538997 | -0.136531 | 3.352414e-03 | -1.573e-03 |  2.961e-03 | 1.124e-05 | 1 | 0.500000
  17  | 0.536834 | -0.140603 | 2.984608e-03 |  1.400e-03 | -2.636e-03 | 8.908e-06 | 1 | 0.500000
  18  | 0.538757 | -0.136984 | 2.647986e-03 | -1.242e-03 |  2.339e-03 | 7.012e-06 | 1 | 0.500000
  19  | 0.537048 | -0.140199 | 2.356566e-03 |  1.106e-03 | -2.081e-03 | 5.553e-06 | 1 | 0.500000
  20  | 0.538567 | -0.137341 | 2.091499e-03 | -9.811e-04 |  1.847e-03 | 4.374e-06 | 1 | 0.500000
  21  | 0.537218 | -0.139881 | 1.860761e-03 |  8.731e-04 | -1.643e-03 | 3.462e-06 | 1 | 0.500000
  22  | 0.538417 | -0.137623 | 1.651912e-03 | -7.749e-04 |  1.459e-03 | 2.729e-06 | 1 | 0.500000
  23  | 0.537351 | -0.139629 | 1.469318e-03 |  6.894e-04 | -1.298e-03 | 2.159e-06 | 1 | 0.500000
  24  | 0.538298 | -0.137846 | 1.304684e-03 | -6.121e-04 |  1.152e-03 | 1.702e-06 | 1 | 0.500000
  25  | 0.537457 | -0.139430 | 1.160252e-03 |  5.444e-04 | -1.025e-03 | 1.346e-06 | 1 | 0.500000
  26  | 0.538205 | -0.138023 | 1.030422e-03 | -4.834e-04 |  9.100e-04 | 1.062e-06 | 1 | 0.500000
